ligand,receptor
ICAM1,ITGAL
ICAM1,ITGAL
ICAM1,ITGB2
ICAM1,ITGAM
ICAM1,ITGB2
ICAM1,ITGAX
ICAM1,ITGB2
ICAM1,SPN
ICAM2,CD209
ICAM2,ITGAL
ICAM2,ITGB2
ICAM3,CD209
ICAM3,CLEC4M
ICAM3,ITGAD
ICAM3,ITGB2
ICAM3,ITGAL
ICAM3,ITGB2
ICAM4,ITGAL
ICAM4,ITGB2
APP,TNFRSF21
CCL1,CCR8
CCL11,ACKR2
CCL11,CCR3
CCL11,DPP4
CCL13,ACKR2
CCL13,CCR2
CCL13,CCR3
CCL14,ACKR2
CCL14,CCR1
CCL14,CCR3
CCL15,CCR1
CCL15,CCR3
CCL16,CCR1
CCL16,CCR2
CCL16,CCR8
CCL16,HRH4
CCL17,CCR4
CCL18,CCR8
CCL19,ACKR4
CCL19,CCR7
CCL19,CCRL2
CCL2,ACKR1
CCL2,ACKR2
CCL2,CCR2
CCL20,CCR6
CCL21,ACKR4
CCL21,CCR7
CCL22,CCR4
CCL22,DPP4
CCL23,CCR1
CCL23,FPR2
CCL24,CCR3
CCL25,ACKR4
CCL25,CCR9
CCL26,CCR1
CCL26,CCR2
CCL26,CCR3
CCL27,CCR10
CCL28,CCR10
CCL3,ACKR2
CCL3,CCR1
CCL3,CCR3
CCL3,CCR5
CCL3L1,CCR1
CCL3L1,CCR3
CCL4,ACKR2
CCL4,CCR5
CCL5,ACKR1
CCL5,ACKR2
CCL5,CCR1
CCL5,CCR3
CCL5,CCR4
CCL5,CCR5
CCL5,GPR75
CCL7,ACKR2
CCL7,CCR1
CCL7,CCR2
CCL7,CCR3
CCL7,CCR5
CCL8,ACKR2
CCL8,CCR1
CCL8,CCR2
CCL8,CCR3
CCL8,CCR5
PPBP,CXCR1
PPBP,CXCR2
CXCL1,ACKR1
CXCL1,CXCR1
CXCL1,CXCR2
CXCL10,CXCR3
CXCL10,DPP4
CXCL11,ACKR3
CXCL11,CXCR3
CXCL11,DPP4
CXCL12,CXCR4
CXCL12,DPP4
CXCL13,ACKR4
CXCL13,CXCR5
CXCL14,CXCR4
CXCL16,CXCR6
CXCL2,CXCR2
CXCL2,DPP4
CXCL3,CXCR2
CXCL5,CXCR1
CXCL5,CXCR2
CXCL6,CXCR1
CXCL6,CXCR2
CXCL8,ACKR1
CXCL8,CXCR1
CXCL8,CXCR2
CXCL9,CXCR3
CXCL9,DPP4
IFNA1,IFNAR1
IFNA1,IFNAR2
IFNA10,IFNAR1
IFNA10,IFNAR2
IFNA14,IFNAR1
IFNA14,IFNAR2
IFNA16,IFNAR1
IFNA16,IFNAR2
IFNA17,IFNAR1
IFNA17,IFNAR2
IFNA2,IFNAR1
IFNA2,IFNAR2
IFNA21,IFNAR1
IFNA21,IFNAR2
IFNA4,IFNAR1
IFNA4,IFNAR2
IFNA5,IFNAR1
IFNA5,IFNAR2
IFNA6,IFNAR1
IFNA6,IFNAR2
IFNA7,IFNAR1
IFNA7,IFNAR2
IFNA8,IFNAR1
IFNA8,IFNAR2
IFNB1,IFNAR1
IFNB1,IFNAR2
IFNE,IFNAR1
IFNE,IFNAR2
IFNG,IFNGR1
IFNG,IFNGR2
IFNK,IFNAR1
IFNK,IFNAR2
IFNL1,IFNLR1
IFNL1,IL10RB
IFNL2,IFNLR1
IFNL2,IL10RB
IFNL3,IFNLR1
IFNL3,IL10RB
IFNL3,IFNLR1
IFNL3,IL10RB
IFNW1,IFNAR1
IFNW1,IFNAR2
EBI3+IL12A,IL12RB2
EBI3+IL12A,IL6ST
EBI3+IL27,IL27RA
EBI3+IL27,IL6ST
IL10,IL10RA
IL10,IL10RB
IL11,IL11RA
IL11,IL6ST
IL12A+IL12B,IL12RB1
IL12A+IL12B,IL12RB2
IL12B+IL23A,IL12RB1
IL12B+IL23A,IL23R
IL13,IL13RA1
IL13,IL4R
IL13,IL13RA2
IL15,IL15RA
IL15,IL2RB
IL17A+IL17F,IL17RA
IL17A+IL17F,IL17RC
IL17C,IL17RA
IL17C,IL17RE
IL17F,IL17RA
IL17F,IL17RC
IL18,IL18R1
IL18,IL18RAP
IL19,IL20RA
IL19,IL20RB
IL1A,IL1R1
IL1A,IL1RAP
IL1A,IL1R2
IL1A,IL1RAP
IL1B,IL1R1
IL1B,IL1RAP
IL1B,IL1R2
IL1B,IL1RAP
IL1F10,IL1RAP
IL1F10,IL1RL2
IL1RAP,PTPRF
IL1RN,IL1R1
IL1RN,IL1RAP
IL1RN,IL1R2
IL1RN,IL1RAP
IL2,IL2RA
IL2,IL2RB
IL2,IL2RG
IL2,IL2RB
IL2,IL2RG
IL20,IL20RA
IL20,IL20RB
IL20,IL20RB
IL20,IL22RA1
IL21,IL21R
IL21,IL2RG
IL22,IL10RB
IL22,IL22RA1
IL24,IL20RA
IL24,IL20RB
IL24,IL20RB
IL24,IL22RA1
IL25,IL17RA
IL25,IL17RB
IL26,IL10RB
IL26,IL20RA
IL3,CSF2RB
IL3,IL3RA
IL33,IL1RAP
IL33,IL1RL1
IL34,CSF1R
IL36A,IL1RAP
IL36A,IL1RL2
IL36B,IL1RAP
IL36B,IL1RL2
IL36G,IL1RAP
IL36G,IL1RL2
IL36RN,IL1RAP
IL36RN,IL1RL2
IL37,IL18R1
IL37,SIGIRR
IL4,IL13RA1
IL4,IL4R
IL4,IL2RG
IL4,IL4R
IL5,CSF2RB
IL5,IL5RA
IL6,IL6R
IL6,IL6ST
IL7,IL2RG
IL7,IL7R
IL9,IL2RG
IL9,IL9R
LTB,LTBR
OSM,IL6ST
OSM,IL6ST
RARRES2,CCRL2
SEMA4C,PLXNB2
SEMA4D,PLXNB1
SEMA4D,PLXNB2
SEMA4G,PLXNB2
TAFA5,S1PR2
BTLA,TNFRSF14
CD160,TNFRSF14
FASLG,TNFRSF6B
LTA,TNFRSF14
LTA,TNFRSF1A
LTA,TNFRSF1B
TNF,TNFRSF1A
TNF,TNFRSF1B
TNFSF10,TNFRSF10A
TNFSF10,TNFRSF10B
TNFSF10,TNFRSF10C
TNFSF10,TNFRSF10D
TNFSF10,TNFRSF11B
TNFSF11,TNFRSF11A
TNFSF11,TNFRSF11B
TNFSF12,TNFRSF12A
TNFSF12,TNFRSF25
TNFSF13,TNFRSF13B
TNFSF13,TNFRSF17
TNFSF13B,TNFRSF13B
TNFSF13B,TNFRSF13C
TNFSF13B,TNFRSF17
TNFSF14,LTBR
TNFSF14,TNFRSF14
TNFSF14,TNFRSF6B
TNFSF15,TNFRSF25
TNFSF15,TNFRSF6B
TNFSF18,TNFRSF18
TNFSF4,TNFRSF4
TNFSF8,TNFRSF8
TNFSF9,TNFRSF9
B2M+CD1B,IL6ST
CD248,IL6R
CD40LG,CD40
CD40LG,ITGA2B
CD40LG,ITGB3
CD40LG,ITGA5
CD40LG,ITGB1
CD93,IFNGR1
CLCF1,IL6ST
CNTF,IL6ST
CRLF2,IL7R
ICOSLG,ICOS
LIF,IL6ST
PF4,CXCR3
PI16,TNFRSF21
PTPRD,IL1RAP
PTPRD,IL1RAPL1
TSLP,IL7R
